observedStorage,observedOutflow,observedWaterSupply,elevationEnd,inflow,storage,outflow,totalWaterSupply,waterSupply,elevation,totalIndoor,totalOutdoor,numOfHouseholds,population,shiftFactor,ignore,deficit,reliability,resilience,sumDeficit,nonzerodeficit,maxDeficit,averageDemand,sustainabilityindex
187761.87302594833,0.0,0.0,0.0,51776.04302594834,123830.54859711058,61487.603305785095,2443.72112305289,2443.72112305289,250.87288668135,2.5663728523056883E8,2.704330909349092E8,124159.0,330445.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
229466.10907694674,0.0,0.0,0.0,41704.236050998414,112499.20519683868,51570.24793388428,1465.331517386143,1465.331517386143,249.88986175870141,2.3180141891793314E8,8.42464421861138E7,124159.0,330445.0,0.9996666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
238403.24065808626,0.0,0.0,0.0,8937.131581139505,111374.0683109569,7933.884297520661,2128.3841695006035,2128.3841695006035,249.7858076677108,2.5771087873983273E8,2.013465129813128E8,124666.0,331755.0,0.9993333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
245414.85895263005,0.0,0.0,0.0,7011.618294543795,108824.04282376282,3966.9421487603304,5594.701632977534,5594.701632977534,249.54997806563978,2.5039362321922404E8,9.562913239342852E8,125174.0,333002.0,0.999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
258301.71449003887,0.0,0.0,0.0,12886.85553740881,113673.9713045302,6148.760330578512,1888.1667260629047,1888.1667260629047,249.99792309653085,2.5973416570785105E8,1.4751228200668377E8,125681.0,334274.0,0.9986666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
274726.53428406734,0.0,0.0,0.0,16424.8197940285,120962.1447143519,5950.413223140496,3186.2331610663036,3186.2331610663036,250.62578090233907,2.5236431048511016E8,4.3485367642526823E8,126189.0,335576.0,0.9983333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
331235.19416552706,0.0,0.0,0.0,56508.6598814597,127021.80688282022,47603.305785123965,2845.6919278674322,2845.6919278674322,251.13761921853654,2.617929065695305E8,3.519759481180213E8,126696.0,336859.0,0.998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
343009.3375066042,0.0,0.0,0.0,11774.143341077148,124270.59301573897,11900.826446280991,2624.530761877431,2624.530761877431,250.9107954010802,2.6281923655352852E8,3.032487991441562E8,127204.0,338170.0,0.9976666666666667,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
339502.30889630364,0.0,0.0,0.0,-3507.028610300562,112080.16807167583,5950.413223140496,2732.9831106220827,2732.9831106220827,249.8511086721239,2.5531747023566046E8,3.341419499003449E8,127711.0,339408.0,0.9973333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
344387.8156463572,0.0,0.0,0.0,4885.506750053573,111533.065644221,3966.9421487603304,1465.6670287480517,1465.6670287480517,249.80051194342192,2.648893939351148E8,5.1230831440719E7,128219.0,340741.0,0.997,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
